available,price,minimum_nights,maximum_nights,room_type,accomodates,bedrooms,beds,total_reviews,join_age,no_of_bath
1.0,96.33,2.0,150.0,Entire home/apt,2,1.0,1.0,117.0,2386,1.0
0.0,25.0,2.0,1125.0,Private room,2,1.0,1.0,44.0,2511,1.0
1.0,65.0,14.0,1125.0,Entire home/apt,3,2.0,3.0,4.0,2381,1.5
1.0,71.0,5.0,1125.0,Entire home/apt,2,1.0,1.0,133.0,2381,1.0
0.0,65.0,2.0,1125.0,Entire home/apt,2,1.0,1.0,36.0,2372,1.0
1.0,72.0,2.0,1125.0,Entire home/apt,2,1.0,1.0,60.0,2371,1.0
1.0,80.0,2.0,1125.0,Entire home/apt,3,1.0,2.0,73.0,3108,1.0
1.0,111.0,1.0,1125.0,Private room,2,1.0,1.0,0.0,2709,1.0
0.0,75.0,2.0,5.0,Entire home/apt,2,1.0,1.0,11.0,2359,1.5
1.0,53.0,2.0,1125.0,Entire home/apt,4,2.0,4.0,165.0,2357,1.0
1.0,80.0,1.0,1125.0,Private room,2,1.0,2.0,87.0,2355,1.0
0.0,25.0,2.0,1125.0,Private room,1,1.0,1.0,97.0,3168,1.0
0.0,69.0,2.0,365.0,Entire home/apt,6,2.0,3.0,39.0,2825,1.5
1.0,35.0,1.0,1125.0,Private room,3,1.0,3.0,299.0,3030,1.5
1.0,39.0,1.0,1125.0,Private room,2,1.0,2.0,231.0,3030,1.5
1.0,44.33,1.0,1125.0,Private room,4,1.0,3.0,275.0,3030,1.5
0.0,58.33,2.0,1125.0,Entire home/apt,2,1.0,2.0,91.0,2443,1.0
1.0,225.0,2.0,1125.0,Entire home/apt,6,1.0,6.0,178.0,2328,1.5
1.0,209.0,2.0,1125.0,Entire home/apt,6,2.0,4.0,179.0,2328,1.0
0.0,50.0,30.0,128.0,Entire home/apt,3,2.0,3.0,161.0,2323,1.0
0.0,70.0,1.67,1125.0,Entire home/apt,2,1.0,1.0,71.0,2862,1.5
1.0,146.33,2.0,1125.0,Entire home/apt,6,3.0,3.0,132.0,2315,2.0
1.0,118.0,2.0,1125.0,Entire home/apt,6,2.0,2.0,26.0,2315,1.5
1.0,95.0,2.0,1125.0,Entire home/apt,6,2.0,3.0,75.0,2315,1.5
1.0,159.33,2.0,1125.0,Entire home/apt,10,3.0,2.0,34.0,2315,1.0
1.0,136.33,2.0,1125.0,Entire home/apt,10,3.0,5.0,33.0,2315,1.0
1.0,105.0,2.0,1125.0,Entire home/apt,6,3.0,3.0,7.0,2315,1.5
1.0,54.0,2.0,1125.0,Entire home/apt,4,1.0,1.0,80.0,3184,1.0
1.0,40.0,2.0,1125.0,Private room,2,1.0,1.0,18.0,2739,1.0
1.0,40.0,2.0,1125.0,Private room,1,1.0,1.0,5.0,2739,1.0
0.0,120.0,2.0,1125.0,Entire home/apt,3,2.0,2.0,20.0,2633,1.0
0.0,76.0,2.0,1125.0,Entire home/apt,4,1.0,1.0,267.0,3149,1.0
1.0,159.0,2.0,1125.0,Entire home/apt,6,3.0,3.0,39.0,2311,1.0
1.0,48.0,3.0,1125.0,Private room,2,1.0,1.0,60.0,3204,1.0
1.0,66.67,1.0,1125.0,Private room,2,2.0,4.0,222.0,3083,2.0
1.0,60.0,1.0,1125.0,Private room,3,1.0,2.0,188.0,3083,1.0
1.0,31.33,1.0,1125.0,Private room,3,1.0,2.0,390.0,2281,1.0
0.0,69.0,3.0,1125.0,Entire home/apt,4,1.0,1.0,134.0,2932,1.5
0.0,59.0,2.0,1125.0,Entire home/apt,4,2.0,2.0,12.0,2932,2.5
0.0,60.0,4.0,1125.0,Private room,2,1.0,1.0,34.0,2932,1.0
1.0,47.0,7.0,1125.0,Private room,2,1.0,1.0,38.0,2932,1.0
0.0,120.0,1.0,1125.0,Entire home/apt,8,3.0,3.0,0.0,2932,4.0
1.0,105.67,30.0,1125.0,Entire home/apt,4,1.0,2.0,40.0,2426,1.0
1.0,72.33,30.0,1125.0,Entire home/apt,4,1.0,2.0,48.0,2426,1.0
1.0,76.33,30.0,1125.0,Entire home/apt,3,1.0,2.0,6.0,2426,1.0
1.0,73.0,30.0,1125.0,Entire home/apt,4,1.0,2.0,39.0,2426,1.0
1.0,81.0,30.0,1125.0,Entire home/apt,3,1.0,2.0,53.0,2426,1.0
1.0,69.0,30.0,1125.0,Entire home/apt,5,2.0,3.0,187.0,2426,1.0
1.0,233.0,30.0,1125.0,Entire home/apt,5,2.0,2.0,181.0,2426,1.5
1.0,166.0,30.0,1125.0,Entire home/apt,4,2.0,4.0,118.0,2426,1.5
1.0,85.67,30.0,1125.0,Entire home/apt,4,2.0,2.0,23.0,2426,1.5
1.0,69.67,30.0,1125.0,Entire home/apt,3,1.0,2.0,41.0,2426,1.0
1.0,89.0,30.0,1125.0,Entire home/apt,4,2.0,2.0,23.0,2426,1.5
1.0,69.0,30.0,1125.0,Entire home/apt,2,1.0,1.0,27.0,2426,1.0
1.0,79.0,30.0,1125.0,Entire home/apt,4,2.0,3.0,45.0,2426,1.5
1.0,99.0,30.0,1125.0,Entire home/apt,4,2.0,3.0,8.0,2426,1.5
1.0,85.67,30.0,1125.0,Entire home/apt,4,2.0,2.0,0.0,2426,1.5
1.0,89.67,30.0,1125.0,Entire home/apt,2,1.0,1.0,1.0,2426,1.0
1.0,106.67,1.0,1125.0,Entire home/apt,4,2.0,2.0,33.0,2273,1.0
1.0,106.67,1.0,1125.0,Entire home/apt,4,2.0,2.0,20.0,2273,1.0
1.0,106.67,1.0,1125.0,Entire home/apt,4,2.0,2.0,26.0,2273,1.0
1.0,100.0,1.0,1125.0,Entire home/apt,4,1.0,1.0,48.0,2273,1.0
1.0,199.0,2.0,1125.0,Entire home/apt,4,2.0,2.0,0.0,2579,2.0
1.0,110.0,2.0,7.0,Entire home/apt,6,4.0,16.0,2.0,2272,0.0
1.0,68.0,5.0,1125.0,Entire home/apt,2,1.0,1.0,19.0,2269,1.5
0.0,65.0,7.0,1125.0,Entire home/apt,4,1.0,1.0,144.0,2960,1.0
1.0,89.0,2.0,1125.0,Entire home/apt,2,1.0,1.0,55.0,2263,1.0
0.0,94.0,2.0,1125.0,Private room,4,2.0,2.0,0.0,2269,1.0
1.0,89.0,30.0,1124.0,Entire home/apt,2,1.0,1.0,1.0,2765,1.0
1.0,89.0,90.0,1124.0,Entire home/apt,1,1.0,1.0,7.0,2765,1.0
0.0,89.0,3.0,60.0,Entire home/apt,2,1.0,1.0,18.0,2765,1.0
0.0,600.0,1.0,365.0,Entire home/apt,4,2.0,2.0,0.0,2257,1.0
0.0,100.0,1.0,1125.0,Entire home/apt,2,1.0,1.0,67.0,2244,1.0
0.0,100.0,1.0,1125.0,Entire home/apt,2,1.0,1.0,61.0,2363,1.0
0.0,26.67,14.0,1125.0,Private room,2,1.0,1.0,38.0,2529,2.0
0.0,60.0,1.67,1125.0,Private room,3,2.0,3.0,49.0,3199,1.5
0.0,66.67,5.0,10.0,Entire home/apt,2,1.0,1.0,28.0,3028,1.0
1.0,139.0,2.0,1000.0,Entire home/apt,2,1.0,1.0,8.0,2421,1.0
1.0,129.0,2.0,1000.0,Entire home/apt,2,1.0,1.0,6.0,2421,1.0
1.0,55.0,1.0,1125.0,Private room,2,1.0,1.0,0.0,2216,1.0
0.0,60.0,2.0,1125.0,Entire home/apt,3,1.2846153846153847,2.0,66.0,2212,1.0
1.0,71.0,2.0,1125.0,Entire home/apt,4,1.0,3.0,182.0,2211,1.0
0.0,41.0,10.0,1125.0,Entire home/apt,2,1.0554016620498614,1.0,83.0,2211,1.0
0.0,74.0,2.0,1125.0,Entire home/apt,4,1.0,2.0,52.0,2211,1.0
1.0,89.0,2.0,90.0,Entire home/apt,4,2.0,3.0,14.0,2237,1.5
0.0,89.0,2.0,1125.0,Entire home/apt,4,2.0,3.0,2.0,2237,1.5
0.0,55.33,2.0,1125.0,Private room,2,1.0,1.0,96.0,2247,1.5
0.0,55.0,3.0,1125.0,Entire home/apt,3,2.0,2.0,9.0,3238,1.0
1.0,66.0,21.0,1125.0,Entire home/apt,2,2.0,2.0,35.0,2202,1.0
0.0,95.0,1.0,1125.0,Entire home/apt,4,2.0,3.0,63.0,2201,1.0
0.0,150.0,1.0,1125.0,Entire home/apt,4,2.0,3.0,168.0,2201,1.0
0.0,150.0,1.0,1125.0,Entire home/apt,4,2.0,3.0,132.0,2201,1.0
0.0,250.0,1.0,1125.0,Entire home/apt,9,3.0,6.0,49.0,2201,1.0
0.0,150.0,1.0,1125.0,Entire home/apt,4,2.0,3.0,15.0,2201,1.0
0.0,95.0,1.0,1125.0,Entire home/apt,4,2.0,2.0,10.0,2201,1.0
0.0,150.0,1.0,1125.0,Entire home/apt,4,2.0,3.0,15.0,2201,1.0
0.0,150.0,1.0,365.0,Entire home/apt,5,2.0,3.0,0.0,2201,1.0
1.0,88.0,12.0,1125.0,Entire home/apt,2,1.0,1.0,31.0,3623,1.0
1.0,142.33,2.0,1125.0,Entire home/apt,6,2.0,2.0,30.0,3006,1.5
1.0,69.0,7.0,1125.0,Private room,4,2.0,3.0,34.0,2291,1.0
0.33,96.0,2.0,1125.0,Entire home/apt,4,2.0,2.0,340.0,3475,1.0
0.0,85.0,1.0,1125.0,Entire home/apt,2,1.0,1.0,41.0,3388,1.5
0.0,80.0,1.0,14.0,Entire home/apt,4,2.0,2.0,28.0,2726,1.0
0.0,95.33,2.0,1125.0,Entire home/apt,6,2.0,5.0,89.0,2386,1.0
0.0,67.0,2.0,1125.0,Entire home/apt,2,1.0,1.0,105.0,2182,1.0
0.0,70.0,1.0,1125.0,Entire home/apt,2,1.0554016620498614,2.0,20.0,2173,1.0
0.0,100.0,1.0,1125.0,Entire home/apt,5,2.0,2.0,305.0,3222,1.5
0.0,85.0,3.0,365.0,Entire home/apt,2,1.0,1.0,5.0,3692,1.0
0.0,85.0,3.0,365.0,Entire home/apt,2,1.0,1.0,1.0,3692,1.0
0.0,800.0,5.0,60.0,Private room,2,3.0,1.0,31.0,2185,1.0
0.0,64.0,50.0,1125.0,Entire home/apt,2,1.0,1.0,29.0,2620,1.0
1.0,75.0,2.0,1125.0,Entire home/apt,4,1.6022099447513811,2.0,109.0,2543,1.0
0.0,69.0,2.0,14.0,Entire home/apt,2,1.0,1.0,57.0,2996,1.0
0.0,30.0,1.0,11.0,Private room,1,1.0,1.0,3.0,2996,1.0
0.0,206.67,2.0,1125.0,Entire home/apt,6,3.0,4.0,138.0,3236,2.5
0.0,160.0,2.0,1125.0,Entire home/apt,5,2.0,3.0,0.0,3236,1.5
0.0,45.0,2.0,1125.0,Private room,2,1.0,1.0,277.0,2220,1.5
0.0,30.0,5.0,1125.0,Private room,2,1.0,1.0,53.0,2220,1.5
0.0,123.67,1.33,1125.0,Entire home/apt,6,2.0,3.0,279.0,3562,1.5
0.0,43.0,5.0,1125.0,Entire home/apt,2,1.0,1.0,36.0,2140,1.0
0.0,29.0,4.0,1125.0,Private room,1,1.0,1.0,25.0,2140,1.0
0.0,135.67,1.33,365.0,Entire home/apt,4,1.0,2.0,34.0,2474,1.5
